Tube_Number,Sample_ID,Presowing_Weight,Postsowing_Weight,Weight_Imbibed,Radicle_Emergence,Disease _rating,Time,Experiment_Date,SoilCollectionDate,ExtractionDate,PCR_ITS_Date,Barcode_ID_ITS,Extraction Weight,Qubit_ng_uL,Location_EC,State,County,Latitude,Longitude,Sample_Type,Normalization,Crop_Last_Year,Crop_This_Year,Tillage,Notes,Weather,Precipitation,Air_Temperature,Relative_Humiidty,Soil_Temperature,UVA,UVB
124,BN45,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,4/2/2025,bc511,0.191,6.32,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Sequal,Corn,Soybean,Conventional,,,,,,,,
125,BN46,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,4/2/2025,bc512,0.211,9.94,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Sequal,Corn,Soybean,Conventional,,,,,,,,
132,BM21,NA,NA,NA,NA,NA,8,5/24/2024,5/17/2024,1/30/2025,4/2/2025,bc519,0.193,17.9,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Sequal,Wheat,Soybean,Conventional,,,,,,,,
134,BM23,NA,NA,NA,NA,NA,8,5/24/2024,5/17/2024,1/30/2025,4/2/2025,bc521,0.192,14.9,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Sequal,Wheat,Soybean,Conventional,,,,,,,,
136,BM25,NA,NA,NA,NA,NA,8,5/24/2024,5/17/2024,1/30/2025,4/2/2025,bc523,0.166,20.4,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Sequal,Wheat,Soybean,Conventional,,,,,,,,
144,NC06,NA,NA,NA,NA,NA,NA,8/5/2024,NA,1/30/2025,4/2/2025,bc531,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,Sequal,NA,NA,NA,,,,,,,,
295,T41,0.1844,0.3079,0.1235,1,,16,5/30/2024,5/24/2024,2/19/2025,4/2/2025,bc688,0.171,7.32,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Spermosphere,Sequal,Corn,Soybean,Conventional,,,,,,,,
297,T43,0.1487,0.3053,0.1566,0,,16,5/30/2024,5/24/2024,2/19/2025,4/2/2025,bc690,0.187,9.86,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Spermosphere,Sequal,Corn,Soybean,Conventional,,,,,,,,
299,T45,0.1961,0.3655,0.1694,1,,16,5/30/2024,5/24/2024,2/19/2025,4/2/2025,bc692,0.136,17.2,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Spermosphere,Sequal,Corn,Soybean,Conventional,,,,,,,,
312,NC13,NA,NA,NA,NA,NA,NA,8/5/2024,NA,2/19/2025,4/2/2025,bc705,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,Sequal,NA,NA,NA,,,,,,,,
314,N31,0.1958,0.3218,0.126,0,,12,5/30/2024,5/19/2024,2/19/2025,4/2/2025,bc707,0.32,12.4,N_Dakota,ND,Richland,46.47197,-96.9872,Spermosphere,Sequal,Corn,Soybean,Conventional,,,,,,,,
316,N33,0.1981,0.3396,0.1415,0,,12,5/30/2024,5/19/2024,2/19/2025,4/2/2025,bc709,0.206,14.7,N_Dakota,ND,Richland,46.47197,-96.9872,Spermosphere,Sequal,Corn,Soybean,Conventional,,,,,,,,
318,N35,0.1829,0.2868,0.1039,0,,12,5/30/2024,5/19/2024,2/19/2025,4/2/2025,bc711,0.211,10.9,N_Dakota,ND,Richland,46.47197,-96.9872,Spermosphere,Sequal,Corn,Soybean,Conventional,,,,,,,,
336,NC14,NA,NA,NA,NA,NA,NA,8/5/2024,NA,2/20/2025,4/2/2025,bc729,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,Sequal,NA,NA,NA,,,,,,,,
401,PCRNC01,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/26/2025,bc478,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
402,PCRNC02,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/26/2025,bc479,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
403,PCRNC03,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/26/2025,bc480,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
404,PCRNC04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc574,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
405,PCRNC05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc575,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
406,PCRNC06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc576,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
407,PCRNC07,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/28/2025,bc670,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
408,PCRNC08,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/28/2025,bc671,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
409,PCRNC09,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/28/2025,bc672,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
410,PCRNC10,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc766,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
411,PCRNC11,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc767,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
412,PCRNC12,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc768,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
413,PCRNC13,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/12/2025,bc32,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
414,PCRNC14,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/28/2025,bc94,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
415,PCRNC15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/28/2025,bc95,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
416,PCRNC16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/28/2025,bc96,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
417,PCRNC17,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc168,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
418,PCRNC18,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc169,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
419,PCRNC19,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc170,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
420,PCRNC20,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/4/2025,bc190,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
421,PCRNC21,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/4/2025,bc191,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
422,PCRNC22,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/4/2025,bc192,NA,NA,NA,NA,NA,NA,NA,PCR_Control,Sequal,NA,NA,NA,,,,,,,,
423,Mock1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/12/2025,bc29,NA,NA,NA,NA,NA,NA,NA,Positive_Control,Sequal,NA,NA,NA,,,,,,,,
424,Mock2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/12/2025,bc30,NA,NA,NA,NA,NA,NA,NA,Positive_Control,Sequal,NA,NA,NA,,,,,,,,
425,Mock3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/12/2025,bc31,NA,NA,NA,NA,NA,NA,NA,Positive_Control,Sequal,NA,NA,NA,,,,,,,,
426,Mock1_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc165,NA,NA,NA,NA,NA,NA,NA,Positive_Control,Magbio,,,,,,,,,,,
427,Mock2_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc166,NA,NA,NA,NA,NA,NA,NA,Positive_Control,Magbio,,,,,,,,,,,
428,Mock3_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc167,NA,NA,NA,NA,NA,NA,NA,Positive_Control,Magbio,,,,,,,,,,,
124_M,BN45_M,NA,NA,NA,NA,NA,17,5/30/2024,5/19/2024,1/29/2025,4/2/2025,bc171,0.191,6.32,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Magbio,,,,,,,,,,,
125_M,BN46_M,NA,NA,NA,NA,NA,17,5/30/2024,5/19/2024,1/29/2025,4/2/2025,bc172,0.211,9.94,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Magbio,,,,,,,,,,,
132_M,BM21_M,NA,NA,NA,NA,NA,8,5/24/2024,5/17/2024,1/30/2025,4/2/2025,bc173,0.193,17.9,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Magbio,,,,,,,,,,,
134_M,BM23_M,NA,NA,NA,NA,NA,8,5/24/2024,5/17/2024,1/30/2025,4/2/2025,bc174,0.192,14.9,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Magbio,,,,,,,,,,,
136_M,BM25_M,NA,NA,NA,NA,NA,9,5/24/2024,5/17/2024,1/30/2025,4/2/2025,bc175,0.166,20.4,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Magbio,,,,,,,,,,,
144_M,NC06_M,NA,NA,NA,NA,NA,NA,8/5/2024,NA,1/30/2025,4/2/2025,bc176,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,Magbio,,,,,,,,,,,
295_M,T41_M,0.1844,0.3079,0.1235,1,,16,5/30/2024,5/24/2024,2/19/2025,4/2/2025,bc177,0.171,7.32,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Spermosphere,Magbio,,,,,,,,,,,
297_M,T43_M,0.1487,0.3053,0.1566,0,,16,5/30/2024,5/24/2024,2/19/2025,4/2/2025,bc178,0.187,9.86,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Spermosphere,Magbio,,,,,,,,,,,
299_M,T45_M,0.1961,0.3655,0.1694,1,,16,5/30/2024,5/24/2024,2/19/2025,4/2/2025,bc179,0.136,17.2,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Spermosphere,Magbio,,,,,,,,,,,
312_M,NC13_M,NA,NA,NA,NA,NA,NA,8/5/2024,NA,2/19/2025,4/2/2025,bc180,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,Magbio,,,,,,,,,,,
314_M,N31_M,0.1958,0.3218,0.126,0,,12,5/30/2024,5/19/2024,2/19/2025,4/2/2025,bc181,0.32,12.4,N_Dakota,ND,Richland,46.47197,-96.9872,Spermosphere,Magbio,,,,,,,,,,,
316_M,N33_M,0.1981,0.3396,0.1415,0,,12,5/30/2024,5/19/2024,2/19/2025,4/2/2025,bc182,0.206,14.7,N_Dakota,ND,Richland,46.47197,-96.9872,Spermosphere,Magbio,,,,,,,,,,,
318_M,N35_M,0.1829,0.2868,0.1039,0,,12,5/30/2024,5/19/2024,2/19/2025,4/2/2025,bc183,0.211,10.9,N_Dakota,ND,Richland,46.47197,-96.9872,Spermosphere,Magbio,,,,,,,,,,,
336_M,NC14_M,NA,NA,NA,NA,NA,NA,8/5/2024,NA,2/20/2025,4/2/2025,bc184,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,Magbio,,,,,,,,,,,
Out1_M,Out1_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc185,NA,NA,NA,NA,NA,NA,NA,Outlier,Magbio,,,,,,,,,,,
Out2_M,Out2_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc186,NA,NA,NA,NA,NA,NA,NA,Outlier,Magbio,,,,,,,,,,,
Out3_M,Out3_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc187,NA,NA,NA,NA,NA,NA,NA,Outlier,Magbio,,,,,,,,,,,
Outlier_Garden_614,Out1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc162,NA,NA,NA,NA,NA,NA,NA,Outlier,Sequal,,,,,,,,,,,
Outlier_Garden_621,Out2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc163,NA,NA,NA,NA,NA,NA,NA,Outlier,Sequal,,,,,,,,,,,
Outlier_Garden_627,Out3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/2/2025,bc164,NA,NA,NA,NA,NA,NA,NA,Outlier,Sequal,,,,,,,,,,,
