Tube_Number,Sample_ID,Presowing_Weight,Postsowing_Weight,Weight_Imbibed,Radicle_Emergence,Disease _rating,Time,Experiment_Date,SoilCollectionDate,ExtractionDate,Extraction Weight,Qubit_ng_uL,Location_EC,State,County,Latitude,Longitude,Sample_Type,Crop_Last_Year,Crop_This_Year,Tillage,Notes,Weather,Precipitation,Air_Temperature,Relative_Humiidty,Soil_Temperature,UVA,UVB
1,BA11,NA,NA,NA,NA,NA,0,4/3/2024,4/3/2024,8/5/2024,0.0710,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
2,BA12,NA,NA,NA,NA,NA,0,4/3/2024,4/3/2024,8/5/2024,0.1120,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
3,BA13,NA,NA,NA,NA,NA,0,4/3/2024,4/3/2024,8/5/2024,0.0220,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
4,BA14,NA,NA,NA,NA,NA,0,4/3/2024,4/3/2024,8/5/2024,0.0880,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
5,BA15,NA,NA,NA,NA,NA,0,4/3/2024,4/3/2024,8/5/2024,0.1070,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
6,BA16,NA,NA,NA,NA,NA,0,4/3/2024,4/3/2024,8/5/2024,0.1260,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
7,BA21,NA,NA,NA,NA,NA,8,4/3/2024,4/3/2024,8/5/2024,0.1360,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
8,BA22,NA,NA,NA,NA,NA,8,4/3/2024,4/3/2024,8/5/2024,0.0940,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
9,BA23,NA,NA,NA,NA,NA,8,4/3/2024,4/3/2024,8/5/2024,0.1120,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
10,BA24,NA,NA,NA,NA,NA,8,4/3/2024,4/3/2024,8/5/2024,0.1220,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
11,BA25,NA,NA,NA,NA,NA,8,4/3/2024,4/3/2024,8/5/2024,0.1320,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
12,BA26,NA,NA,NA,NA,NA,8,4/3/2024,4/3/2024,8/5/2024,0.1470,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
13,BA31,NA,NA,NA,NA,NA,12,4/3/2024,4/3/2024,8/5/2024,0.1340,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
14,BA32,NA,NA,NA,NA,NA,12,4/3/2024,4/3/2024,8/5/2024,0.1140,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
15,BA33,NA,NA,NA,NA,NA,12,4/3/2024,4/3/2024,8/5/2024,0.1000,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
16,BA34,NA,NA,NA,NA,NA,12,4/3/2024,4/3/2024,8/5/2024,0.0980,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
17,BA35,NA,NA,NA,NA,NA,12,4/3/2024,4/3/2024,8/5/2024,0.1530,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
18,BA36,NA,NA,NA,NA,NA,12,4/3/2024,4/3/2024,8/5/2024,0.1460,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
19,BA41,NA,NA,NA,NA,NA,16,4/3/2024,4/3/2024,8/5/2024,0.1320,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
20,BA42,NA,NA,NA,NA,NA,16,4/3/2024,4/3/2024,8/5/2024,0.1130,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
21,BA43,NA,NA,NA,NA,NA,16,4/3/2024,4/3/2024,8/5/2024,0.1530,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
22,BA44,NA,NA,NA,NA,NA,16,4/3/2024,4/3/2024,8/5/2024,0.1350,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
23,BA45,NA,NA,NA,NA,NA,16,4/3/2024,4/3/2024,8/5/2024,0.1710,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
24,NC1,NA,NA,NA,NA,NA,NA,8/5/2024,NA,8/5/2024,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,NA,NA,NA,,,,,,,,
25,BA46,NA,NA,NA,NA,NA,16,4/3/2024,4/3/2024,8/6/2024,0.1380,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Bulk_Soil,Control,Control,Control,,,,,,,,
26,BW11,NA,NA,NA,NA,NA,0,5/1/2024,4/29/2024,8/6/2024,0.2120,6.5400,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
27,BW12,NA,NA,NA,NA,NA,0,5/1/2024,4/29/2024,8/6/2024,0.2130,6.4200,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
28,BW13,NA,NA,NA,NA,NA,0,5/1/2024,4/29/2024,8/6/2024,0.1590,3.3200,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
29,BW14,NA,NA,NA,NA,NA,0,5/1/2024,4/29/2024,8/6/2024,0.1870,4.8400,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
30,BW15,NA,NA,NA,NA,NA,0,5/1/2024,4/29/2024,8/6/2024,0.2200,7.3800,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
31,BW16,NA,NA,NA,NA,NA,0,5/1/2024,4/29/2024,8/6/2024,0.2700,7.4800,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
32,BW21,NA,NA,NA,NA,NA,8,5/1/2024,4/29/2024,8/6/2024,0.2160,5.0600,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
33,BW22,NA,NA,NA,NA,NA,8,5/1/2024,4/29/2024,8/6/2024,0.2580,4.2800,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
34,BW23,NA,NA,NA,NA,NA,8,5/1/2024,4/29/2024,8/6/2024,0.2100,4.0800,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
35,BW24,NA,NA,NA,NA,NA,8,5/1/2024,4/29/2024,8/6/2024,0.2000,3.7400,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
36,BW25,NA,NA,NA,NA,NA,8,5/1/2024,4/29/2024,8/6/2024,0.2520,4.7200,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
37,BW26,NA,NA,NA,NA,NA,8,5/1/2024,4/29/2024,8/6/2024,0.2230,4.2200,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
38,BW31,NA,NA,NA,NA,NA,12,5/1/2024,4/29/2024,8/6/2024,0.2990,5.4000,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
39,BW32,NA,NA,NA,NA,NA,12,5/1/2024,4/29/2024,8/6/2024,0.2930,4.9800,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
40,BW33,NA,NA,NA,NA,NA,12,5/1/2024,4/29/2024,8/6/2024,0.2040,5.2200,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
41,BW34,NA,NA,NA,NA,NA,12,5/1/2024,4/29/2024,8/6/2024,0.2590,5.3200,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
42,BW35,NA,NA,NA,NA,NA,12,5/1/2024,4/29/2024,8/6/2024,0.2120,3.6000,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
43,BW36,NA,NA,NA,NA,NA,12,5/1/2024,4/29/2024,8/6/2024,0.2810,4.4400,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
44,BW41,NA,NA,NA,NA,NA,16,5/1/2024,4/29/2024,8/6/2024,0.2610,6.1000,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
45,BW42,NA,NA,NA,NA,NA,16,5/1/2024,4/29/2024,8/6/2024,0.2830,3.6000,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
46,BW43,NA,NA,NA,NA,NA,16,5/1/2024,4/29/2024,8/6/2024,0.1850,3.4200,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
47,BW44,NA,NA,NA,NA,NA,16,5/1/2024,4/29/2024,8/6/2024,0.2360,too low,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
48,NC2,NA,NA,NA,NA,NA,NA,8/5/2024,NA,8/6/2024,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,NA,NA,NA,,,,,,,,
49,BW45,NA,NA,NA,NA,NA,16,5/1/2024,4/29/2024,11/6/2024,0.2279,2.6600,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
50,BW46,NA,NA,NA,NA,NA,16,5/1/2024,4/29/2024,11/6/2024,0.2972,3.0800,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Bulk_Soil,Soybean,Corn,Conventional,,,,,,,,
51,BE11,NA,NA,NA,NA,NA,0,5/1/2024,4/29/2024,11/6/2024,0.2716,7.0200,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
52,BE12,NA,NA,NA,NA,NA,0,5/1/2024,4/29/2024,11/6/2024,0.2217,4.1800,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
53,BE13,NA,NA,NA,NA,NA,0,5/1/2024,4/29/2024,11/6/2024,0.1936,3.2000,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
54,BE14,NA,NA,NA,NA,NA,0,5/1/2024,4/29/2024,11/6/2024,0.2445,5.1400,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
55,BE15,NA,NA,NA,NA,NA,0,5/1/2024,4/29/2024,11/6/2024,0.1695,0.4220,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
56,BE16,NA,NA,NA,NA,NA,0,5/1/2024,4/29/2024,11/6/2024,0.1991,1.2600,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
57,BE21,NA,NA,NA,NA,NA,8,5/1/2024,4/29/2024,11/6/2024,0.2554,3.6200,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
58,BE22,NA,NA,NA,NA,NA,8,5/1/2024,4/29/2024,11/6/2024,0.2452,4.2000,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
59,BE23,NA,NA,NA,NA,NA,8,5/1/2024,4/29/2024,11/6/2024,0.2760,5.5800,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
60,BE24,NA,NA,NA,NA,NA,8,5/1/2024,4/29/2024,11/6/2024,0.1668,3.2000,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
61,BE25,NA,NA,NA,NA,NA,8,5/1/2024,4/29/2024,11/6/2024,0.2482,5.5200,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
62,BE26,NA,NA,NA,NA,NA,8,5/1/2024,4/29/2024,11/6/2024,0.1860,2.9400,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
63,BE31,NA,NA,NA,NA,NA,12,5/1/2024,4/29/2024,11/6/2024,0.2266,3.4000,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
64,BE32,NA,NA,NA,NA,NA,12,5/1/2024,4/29/2024,11/6/2024,0.2572,5.4800,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
65,BE33,NA,NA,NA,NA,NA,12,5/1/2024,4/29/2024,11/6/2024,0.2883,4.7200,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
66,BE34,NA,NA,NA,NA,NA,12,5/1/2024,4/29/2024,11/6/2024,0.2756,4.5200,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
67,BE35,NA,NA,NA,NA,NA,12,5/1/2024,4/29/2024,11/6/2024,0.1884,3.3000,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
68,BE36,NA,NA,NA,NA,NA,12,5/1/2024,4/29/2024,11/6/2024,0.1829,2.2200,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
69,BE41,NA,NA,NA,NA,NA,16,5/1/2024,4/29/2024,11/6/2024,0.1872,2.5600,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
70,BE42,NA,NA,NA,NA,NA,16,5/1/2024,4/29/2024,11/6/2024,0.2301,3.6800,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
71,BE43,NA,NA,NA,NA,NA,16,5/1/2024,4/29/2024,11/6/2024,0.1943,3.3400,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
72,NC3,NA,NA,NA,NA,NA,NA,8/5/2024,NA,11/6/2024,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,NA,NA,NA,,,,,,,,
73,BE44,NA,NA,NA,NA,NA,16,5/1/2024,4/29/2024,1/29/2025,0.2470,6.9600,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
74,BE45,NA,NA,NA,NA,NA,16,5/1/2024,4/29/2024,1/29/2025,0.2200,7.1200,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
75,BE46,NA,NA,NA,NA,NA,16,5/1/2024,4/29/2024,1/29/2025,0.3050,11.5000,EVSmith_EC,AL,Macon,32.42789,-85.89018,Bulk_Soil,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
76,BT11,NA,NA,NA,NA,NA,0,5/30/2024,5/19/2024,1/29/2025,0.1840,3.8000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
77,BT12,NA,NA,NA,NA,NA,0,5/30/2024,5/19/2024,1/29/2025,0.2760,8.0000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
78,BT13,NA,NA,NA,NA,NA,0,5/30/2024,5/19/2024,1/29/2025,0.2950,7.8000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
79,BT14,NA,NA,NA,NA,NA,0,5/30/2024,5/19/2024,1/29/2025,0.3110,15.5000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
80,BT15,NA,NA,NA,NA,NA,0,5/30/2024,5/19/2024,1/29/2025,0.2190,11.7000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
81,BT16,NA,NA,NA,NA,NA,0,5/30/2024,5/19/2024,1/29/2025,0.1810,6.2600,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
82,BT21,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.1950,5.9200,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
83,BT22,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.3080,12.0000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
84,BT23,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.3030,10.3000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
85,BT24,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.1650,6.7400,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
86,BT25,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.1590,4.8200,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
87,BT26,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.2820,11.6000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
88,BT31,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.1650,8.8000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
89,BT32,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.1970,12.2000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
90,BT33,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.1960,12.3000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
91,BT34,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.3190,19.7000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
92,BT35,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.1540,7.4200,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
93,BT36,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.1540,5.1400,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
94,BT41,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.1970,10.2000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
95,BT42,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.2050,12.1000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
96,NC4,NA,NA,NA,NA,NA,NA,8/5/2024,NA,1/29/2025,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,NA,NA,NA,,,,,,,,
97,BT43,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.1760,10.7000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
98,BT44,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.1490,7.8800,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
